Oznaka pruge;Smjer;Polazna stanica;Odredišna stanica;Oznaka vlaka;Vrsta vlaka;Vrijeme polaska;Trajanje vožnje;Oznaka dana
R202;O;;;3604;;8:13;0:58;3
R202;O;;;3606;;9:02;0:51;
R202;O;;;3608;;11:44;0:51;4
R202;O;;;6400;;13:09;0:51;3
R202;O;;;3610;;14:48;0:55;4
R202;O;;;3612;;16:00;0:54;
R202;O;;;B 772;B;17:04;0:40;3
R202;O;;;3614;;18:07;0:51;15
R202;O;;;3616;;19:26;0:55;3
R202;O;;;3618;;20:37;0:51;
;;;;;;;;
M201;N;;;2200;;3:58;1:09;3
M201;N;;;2202;;4:36;1:22;
M201;N;;;2204;;5:20;1:09;4
M201;N;;;B 770;B;6:01;0:59;3
M201;N;Križevci;;B 776;B;7:04;0:35;3
M201;N;;;2206;;7:31;1:15;4
M201;N;;;IC 580;B;9:44;0:58;
M201;N;Križevci;;2230;;10:22;0:37;3
M201;N;;;2208;;11:16;1:09;
M201;N;;;2210;;13:57;1:07;3
M201;N;;;2212;;15:16;1:20;3
M201;N;;;2214;;16:35;1:38;
M201;N;Križevci;;B 778;B;19:29;0:32;3
M201;N;;;IC 204;B;20:19;0:50;
M201;N;;;2216;;20:19;1:10;
M201;N;;;B 780;B;20:44;1:01;26
;;;;;;;;
M201;O;Križevci;;2251;;5:15;0:35;3
M201;O;;;2201;;5:10;0:38;3
M201;O;;;B 781;B;7:03;0:59;16
M201;O;;;2203;;7:43;1:12;
M201;O;;;2205;;11:50;1:10;3
M201;O;;;971;;13:08;1:21;3
M201;O;;;981;;13:08;1:21;2
M201;O;;Vrbovec;985;;13:44;0:20;
M201;O;;;2207;;15:09;1:12;
M201;O;;Vrbovec;B 787;B;16:00;0:20;3
M201;O;;;2209;;16:38;1:09;4
M201;O;;Vrbovec;987;;17:25;0:20;3
M201;O;;;2211;;17:36;1:14;4
M201;O;;Križevci;B 777;B;18:43;0:32;3
M201;O;;;973;;19:03;1:11;
M201;O;;Gradec;989;;20:03;0:26;
M201;O;;;2213;;20:50;1:09;
M201;O;Vrbovec;;2253;;23:45;0:49;
;;;;;;;;
M102;N;;;8000;;4:26;0:31;1
M102;N;;;2100;;4:53;0:31;3
M102;N;;;8002;;4:53;0:31;2
M102;N;;;2200;;5:08;0:31;3
M102;N;;;8004;;5:16;0:31;1
M102;N;;;8006;;5:35;0:31;
M102;N;;;2102;;5:47;0:31;
M102;N;;;2202;;5:59;0:32;
M102;N;;;8010;;6:11;0:31;4
M102;N;;;B 740;B;6:26;0:22;3
M102;N;;;2204;;6:31;0:31;4
M102;N;;;8012;;6:36;0:31;3
M102;N;;;B 786;B;6:50;0:23;
M102;N;;;2104;;7:08;0:31;
M102;N;;;8016;;7:14;0:31;
M102;N;;;2170;;7:26;0:30;3
M102;N;;;B 776;B;7:40;0:21;3
M102;N;;;8018;;7:44;0:31;
M102;N;;;2010;;8:08;0:32;4
M102;N;;;8020;;8:18;0:31;3
M102;N;;;982;U;8:31;0:24;3
M102;N;;;2206;;8:48;0:31;4
M102;N;;;8022;;9:03;0:31;
M102;N;;;8024;;9:14;0:31;1
M102;N;;;B 742;B;9:30;0:21;4
M102;N;;;8026;;10:48;0:30;
M102;N;;;2230;;11:01;0:31;3
M102;N;;;2012;;11:06;0:31;
M102;N;;;8028;;11:25;0:31;1
M102;N;;;984;U;11:48;0:24;
M102;N;;;8030;;11:58;0:31;1
M102;N;;;B 210;B;12:15;0:21;
M102;N;;;2208;;12:27;0:31;
M102;N;;;8034;;12:54;0:31;3
M102;N;;;2174;;13:13;0:32;
M102;N;;;2030;;13:23;0:31;3
M102;N;;;8038;;13:43;0:31;1
M102;N;;;8040;;14:10;0:31;
M102;N;;;8044;;14:40;0:30;1
M102;N;;;2014;;14:50;0:31;1
M102;N;;;986;U;15:00;0:25;3
M102;N;;;2210;;15:07;0:32;3
M102;N;;;8046;;15:14;0:31;1
M102;N;;;B 744;B;15:29;0:21;
M102;N;;;8048;;15:34;0:31;3
M102;N;;;8050;;16:01;0:31;
M102;N;;;8052;;16:25;0:31;3
M102;N;;;2212;;16:37;0:31;3
M102;N;;;2016;;16:41;0:31;3
M102;N;;;8056;;16:55;0:30;
M102;N;;;8058;;17:28;0:31;
M102;N;;;B 746;B;18:05;0:21;24
M102;N;;;940;U;18:05;0:21;25
M102;N;;;2214;;18:14;0:31;3
M102;N;;;2300;;18:20;0:33;3
M102;N;;;2302;;18:20;0:33;2
M102;N;;;8064;;18:39;0:31;
M102;N;;;2020;;19:07;0:31;3
M102;N;;;8068;;19:24;0:30;1
M102;N;;;B 778;B;20:02;0:21;3
M102;N;;;2022;;20:16;0:32;
M102;N;;;8072;;20:28;0:30;2
M102;N;;;988;U;20:45;0:24;
M102;N;;;8074;;21:05;0:31;
M102;N;;;1950;B;21:18;0:23;10
M102;N;;;IC 204;;21:30;0:29;
M102;N;;;2216;;21:30;0:29;
M102;N;;;B 748;B;21:42;0:22;
M102;N;;;B 1840;B;21:42;0:22;23
M102;N;;;B 780;B;21:47;0:23;26
M102;N;;;8076;;21:56;0:31;26
M102;N;;;8078;;22:20;0:31;
M102;N;;;1748;B;22:25;0:30;10
M102;N;;;8080;;22:50;0:31;3
;;;;;;;;
M102;O;;;2201;;4:38;0:31;3
M102;O;;;2031;;4:47;0:31;3
M102;O;;;8003;;4:58;0:31;
M102;O;;;8005;;5:25;0:30;4
M102;O;;;8007;;5:49;0:31;3
M102;O;;;B 741;B;6:20;0:21;16
M102;O;;;B 1841;B;6:20;0:21;17
M102;O;;;8009;;6:26;0:31;
M102;O;;;B 781;B;6:40;0:22;16
M102;O;;;8013;;6:52;0:30;
M102;O;;;2203;;7:10;0:32;
M102;O;;;8015;;7:16;0:31;
M102;O;;;983;U;7:27;0:24;3
M102;O;;;8017;;7:43;0:31;3
M102;O;;;2011;;7:54;0:31;
M102;O;;;8021;;8:12;0:31;
M102;O;;;8023;;8:37;0:31;1
M102;O;;;2013;;9:03;0:31;4
M102;O;;;8027;;9:38;0:31;
M102;O;;;8031;;10:15;0:31;1
M102;O;;;2301;;10:36;0:32;
M102;O;;;8033;;11:08;0:31;1
M102;O;;;2205;;11:20;0:31;3
M102;O;;;2171;;11:40;0:31;3
M102;O;;;8037;;12:05;0:31;
M102;O;;;971;U;12:41;0:25;3
M102;O;;;981;U;12:41;0:25;2
M102;O;;;8039;;12:48;0:30;1
M102;O;;;B 743;B;13:04;0:21;3
M102;O;;;1753;B;13:04;0:21;10
M102;O;;;985;U;13:18;0:24;
M102;O;;;8041;;13:28;0:31;
M102;O;;;2103;;13:50;0:31;1
M102;O;;;8043;;13:57;0:31;1
M102;O;;;8047;;14:23;0:31;1
M102;O;;;2017;;14:30;0:31;
M102;O;;;2207;;14:38;0:30;
M102;O;;;8049;;14:54;0:31;3
M102;O;;;B 745;B;15:10;0:22;
M102;O;;;8053;;15:19;0:31;
M102;O;;;B 787;B;15:35;0:24;3
M102;O;;;2019;;15:41;0:30;4
M102;O;;;8055;;15:47;0:31;1
M102;O;;;2209;;16:04;0:31;4
M102;O;;;8057;;16:13;0:31;
M102;O;;;2173;;16:21;0:31;1
M102;O;;;2105;;16:46;0:31;3
M102;O;;;987;U;16:48;0:25;3
M102;O;;;2211;;17:03;0:32;4
M102;O;;;8059;;17:22;0:31;
M102;O;;;B 211;B;17:37;0:22;
M102;O;;;2021;;17:45;0:31;3
